species,n
Artemisia L.,2
Artemisia campestris L.,2
Artemisia norvegica subsp. saxatilis (Besser) H.M.Hall & Clem.,2
Asplenium viride Huds.,2
Astragalus L.,2
Astragalus americanus (Hook.) M.E.Jones,2
Astragalus robbinsii (Oakes) A.Gray,2
Astragalus robbinsii var. minor (Hook.) Barneby,2
Balsamorhiza sagittata (Pursh) Nutt.,2
Boechera divaricarpa (A.Nelson) A.Löve & D.Löve,2
Bromus anomalus Rupr. ex E.Fourn.,2
Bromus marginatus Nees ex Steud.,2
Bromus richardsonii Link,2
Calamagrostis canadensis (Michx.) P.Beauv.,2
Calamagrostis inexpansa A.Gray,2
Calamagrostis rubescens Buckley,2
Calypso bulbosa var. americana (R.Br.) Luer,2
Carex atrata L.,2
Carex haydeniana Olney,2
Carex macrochaeta C.A.Mey.,2
Carex micropoda C.A.Mey.,2
Carex scopulorum var. bracteosa (L.H.Bailey) F.J.Herm.,2
Castilleja L.fil.,2
Castilleja elmeri Fernald,2
Castilleja hispida var. hispida,2
Castilleja miniata var. miniata,2
Ceanothus velutinus Douglas,2
Cirsium edule Nutt.,2
Clematis occidentalis (Hornem.) DC.,2
Crepis atribarba subsp. atribarba,2
Delphinium glaucum S.Watson,2
Deschampsia P.Beauv.,2
Descurainia incisa (Engelm. ex A.Gray) Britton,2
Descurainia sophia (L.) Webb ex Prantl,2
Draba albertina Greene,2
Draba juvenilis Kom.,2
Drymocallis arguta (Pursh) Rydb.,2
Drymocallis glandulosa subsp. pseudorupestris (Rydb.) Soják,2
Elaeagnus commutata Bernh. ex Rydb.,2
Elymus elymoides subsp. californicus (J.G.Sm.) Barkworth,2
Elymus sajanensis (Nevski) Tzvelev,2
Elymus scribneri (Vasey) M.E.Jones,2
Epilobium hornemannii Rchb.,2
Epilobium hornemannii subsp. hornemannii,2
Epilobium lactiflorum Hausskn.,2
Equisetum pratense Ehrh.,2
Erigeron elatus (Hook.) Greene,2
Eriophorum angustifolium subsp. angustifolium,2
Erythranthe lutea (L.) G.L.Nesom,2
Eurybia sibirica (L.) G.L.Nesom,2
Exoacantha heterophylla Labill.,2
Galium trifidum L.,2
Geum L.,2
Gymnocarpium disjunctum (Rupr.) Ching,2
Habenaria longicorniculata J.Graham,2
Hackelia micrantha (Eastw.) J.L.Gentry,2
Hedysarum boreale Nutt.,2
Heracleum sphondylium L.,2
Huperzia Bernh.,2
Ipomopsis aggregata subsp. aggregata,2
Juncus balticus subsp. ater (Rydb.) Snogerup,2
Koeleria macrantha (Ledeb.) Schult.,2
Lomatium nudicaule (Pursh) J.M.Coult. & Rose,2
Lupinus latifolius Lindl. ex J.Agardh,2
Lupinus sericeus Pursh,2
Luzula arcuata (Wahlenb.) Sw.,2
Matricaria discoidea DC.,2
Mertensia oblongifolia (Nutt.) G.Don,2
Moehringia lateriflora (L.) Fenzl,2
Myosotis sylvatica Ehrh. ex Hoffm.,2
Neottia borealis (Morong) Szlach.,2
Osmorhiza depauperata Phil.,2
Oxytropis monticola A.Gray,2
Oxytropis sericea var. speciosa (Torr. & A.Gray) S.L.Welsh,2
Parnassia palustris L.,2
Pedicularis langsdorffii Fisch. ex Stev.,2
Pedicularis racemosa Douglas ex Hook.,2
Penstemon Schmidel,2
Penstemon davidsonii var. davidsonii,2
Penstemon davidsonii var. menziesii (D.D.Keck) Cronquist,2
Penstemon menziesii Hook.,2
Phacelia sericea subsp. sericea,2
Physematium scopulinum subsp. scopulinum,2
Platanthera blumei Lindl.,2
Potentilla arenosa (Turcz.) Juz.,2
Potentilla flabellifolia Hook. ex Torr. & A.Gray,2
Potentilla uniflora Ledeb.,2
Potentilla villosula Jurtzev,2
Ranunculus nivalis L.,2
"Ranunculus verecundus B.L.Rob., 1906",2
Rhododendron neoglandulosum Harmaja,2
Salix scouleriana Barratt,2
Salix tweedyi (Bebb ex Rose) Ball,2
Sambucus racemosa subsp. racemosa,2
Sambucus racemosa var. melanocarpa (A.Gray) Mc Minn,2
Sedum stenopetalum Pursh,2
Silene L.,2
Silene acaulis subsp. exscapa (All.) F.Vierh.,2
Silene uralensis (Rupr.) Bocquet,2
Streptopus lanceolatus (Aiton) Reveal,2
Symphoricarpos albus (L.) K.Koch,2
Symphoricarpos albus var. laevigatus (Fernald) S.F.Blake,2
Symphyotrichum ciliolatum (Lindl.) Á.Löve & D.Löve,2
Symphyotrichum foliaceum var. apricum (A.Gray) G.L.Nesom,2
Taraxacum officinale Weber ex Wiggins,2
Thalictrum dioicum L.,2
Thlaspi arvense L.,2
Tofieldia pusilla (Michx.) Pers.,2
Trisetum spicatum subsp. spicatum,2
Vaccinium L.,2
Vaccinium myrtilloides Michx.,2
Valeriana scouleri Rydb.,2
Veratrum L.,2
Veratrum album L.,2
Veronica alpina L.,2
Veronica serpyllifolia L.,2
Vicia cracca L.,2
Viola glabella Nutt.,2
